row_id,task,difficulty,model,variant,valid,overall_correct,methods_correct,columns_correct,over_selection,under_selection,n_pred_methods,n_gt_methods,pred_methods,gt_methods,ssc,drop_rate,add_rate_in,add_rate_out,label_clarity_auto,verdicts,selfcheck_changed
10,Correlation Analysis,easy,14B,V4,1,0,0,1,0,1,1,3,Pearson Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,,,,,n/a,,0
11,Variance Test,hard,14B,V4,1,0,0,1,1,1,1,2,F-Test for Variance,Mood Variance Test|Levene Test,,,,,n/a,,0
12,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
13,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
14,Contingency Table Test,easy,14B,V4,1,0,0,1,1,1,2,2,Spearman Correlation Coefficient|Kendall Correlation Coefficient,Chi-square Independence Test|Fisher Exact Test,,,,,n/a,,1
15,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
16,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
17,Distribution Compliance Test,easy,14B,V4,1,0,0,1,1,0,2,1,Kolmogorov-Smirnov Test|Anderson-Darling Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
18,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
19,Variance Test,hard,14B,V4,1,0,0,1,1,1,1,2,F-Test for Variance,Mood Variance Test|Levene Test,,,,,n/a,,0
20,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
21,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
22,Variance Test,easy,14B,V4,1,0,0,1,0,1,3,4,Mood Variance Test|Levene Test|Bartlett Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,0
23,Correlation Analysis,hard,14B,V4,1,0,0,1,1,1,1,1,Pearson Correlation Coefficient,Kendall Correlation Coefficient,,,,,n/a,,0
24,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,0
25,Correlation Analysis,easy,14B,V4,1,0,0,1,0,1,1,3,Pearson Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,,,,,n/a,,0
26,Contingency Table Test,easy,14B,V4,1,1,1,1,0,0,2,2,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,,,,,n/a,,0
27,Variance Test,easy,14B,V4,1,0,0,1,0,1,3,4,Levene Test|Bartlett Test|F-Test for Variance,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,0
28,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
29,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
30,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
31,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Fisher Exact Test,,,,,n/a,,0
32,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
33,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
34,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Lilliefors Test|Kolmogorov-Smirnov Test for Normality,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,1
35,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
36,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
37,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,6,3,Shapiro-Wilk Test of Normality|Mean|Median|Standard Deviation|Skewness|Kurtosis,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,,,,,n/a,,0
38,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
39,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,3,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
40,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
41,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Levene Test|Mood Variance Test,Mood Variance Test|Levene Test,,,,,n/a,,1
42,Descriptive Statistics,easy,14B,V4,1,0,0,1,1,0,5,1,Skewness|Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Skewness,,,,,n/a,,0
43,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,,,,,n/a,,0
44,Distribution Compliance Test,hard,14B,V4,1,0,0,0,1,1,6,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Mean|Median|Standard Deviation|Variance Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
45,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
46,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
47,Distribution Compliance Test,easy,14B,V4,1,0,0,1,1,0,2,1,Kolmogorov-Smirnov Test|Anderson-Darling Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
48,Descriptive Statistics,easy,14B,V4,1,0,0,1,1,0,2,1,Skewness|Shapiro-Wilk Test of Normality,Skewness,,,,,n/a,,0
49,Variance Test,easy,14B,V4,1,1,1,1,0,0,4,4,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,0
50,Variance Test,easy,14B,V4,1,0,0,1,1,1,3,4,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,1
51,Correlation Analysis,easy,14B,V4,1,0,0,1,0,1,1,3,Pearson Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,,,,,n/a,,0
52,Distribution Compliance Test,easy,14B,V4,1,0,0,1,1,1,1,1,Anderson-Darling Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
53,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
54,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
55,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,8,3,Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Mean|Median|Standard Deviation|Skewness|Kurtosis,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
56,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
57,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
58,Correlation Analysis,hard,14B,V4,1,0,0,1,1,1,1,1,Pearson Correlation Coefficient,Kendall Correlation Coefficient,,,,,n/a,,0
59,Distribution Compliance Test,hard,14B,V4,1,1,1,1,0,0,3,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,,,,,n/a,,0
60,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
61,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,,,,,n/a,,0
62,Contingency Table Test,easy,14B,V4,1,0,0,1,0,1,1,2,Chi-square Independence Test,Chi-square Independence Test|Fisher Exact Test,,,,,n/a,,0
63,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
64,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
65,Variance Test,easy,14B,V4,1,0,0,1,0,1,1,4,Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,1
66,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,3,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
67,Variance Test,hard,14B,V4,1,0,0,1,1,1,1,2,F-Test for Variance,Mood Variance Test|Levene Test,,,,,n/a,,0
68,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
69,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
70,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
71,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
72,Variance Test,easy,14B,V4,1,0,0,1,0,1,3,4,Mood Variance Test|Levene Test|Bartlett Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,,,,,n/a,,0
73,Correlation Analysis,easy,14B,V4,1,0,0,1,1,0,4,3,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient|Partial Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,,,,,n/a,,0
74,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
75,Contingency Table Test,easy,14B,V4,1,0,0,1,1,1,1,1,Contingency Table Test,Mantel-Haenszel Test,,,,,n/a,,0
76,Contingency Table Test,easy,14B,V4,1,0,0,1,1,1,1,1,Contingency Table Test,Mantel-Haenszel Test,,,,,n/a,,0
77,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
78,Contingency Table Test,easy,14B,V4,1,1,1,1,0,0,2,2,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,,,,,n/a,,0
79,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
80,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,3,3,Descriptive Statistics|Kolmogorov-Smirnov Test|Kolmogorov-Smirnov Test for Uniform distribution,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
81,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
82,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
83,Contingency Table Test,easy,14B,V4,1,0,0,1,1,1,1,2,Contingency Table Test,Chi-square Independence Test|Fisher Exact Test,,,,,n/a,,1
84,Variance Test,hard,14B,V4,1,0,1,0,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
85,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
86,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Levene Test|Mood Variance Test,Mood Variance Test|Levene Test,,,,,n/a,,1
87,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
88,Correlation Analysis,easy,14B,V4,1,0,0,1,0,1,2,3,Spearman Correlation Coefficient|Kendall Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,,,,,n/a,,1
89,Correlation Analysis,easy,14B,V4,1,1,1,1,0,0,1,1,Partial Correlation Coefficient,Partial Correlation Coefficient,,,,,n/a,,0
90,Correlation Analysis,easy,14B,V4,1,0,0,1,0,1,1,3,Pearson Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,,,,,n/a,,0
91,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
92,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,,,,,n/a,,0
93,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
94,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
95,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,,,,,n/a,,0
96,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
97,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
98,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
99,Correlation Analysis,hard,14B,V4,1,0,0,1,1,0,3,1,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,Kendall Correlation Coefficient,,,,,n/a,,0
100,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
101,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
102,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
103,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
104,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,,,,,n/a,,0
105,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
106,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
107,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
108,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,,,,,n/a,,0
109,Distribution Compliance Test,easy,14B,V4,1,0,0,1,1,0,2,1,Kolmogorov-Smirnov Test|Anderson-Darling Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
110,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
111,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
112,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Levene Test|Mood Variance Test,Mood Variance Test|Levene Test,,,,,n/a,,1
113,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
114,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
115,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,1,3,Shapiro-Wilk Test of Normality,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
116,Distribution Compliance Test,easy,14B,V4,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,,,,,n/a,,0
117,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
118,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
119,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
120,Contingency Table Test,easy,14B,V4,1,0,0,1,1,1,1,1,Chi-square Independence Test,Mantel-Haenszel Test,,,,,n/a,,0
121,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
122,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
123,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,0
124,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,,,,,n/a,,0
125,Distribution Compliance Test,easy,14B,V4,1,0,0,1,1,1,2,1,Mood Variance Test|Levene Test,Kolmogorov-Smirnov Test,,,,,n/a,,1
126,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
127,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
128,Contingency Table Test,hard,14B,V4,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,,n/a,,1
129,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
130,Contingency Table Test,easy,14B,V4,1,0,0,1,0,1,1,2,Chi-square Independence Test,Chi-square Independence Test|Fisher Exact Test,,,,,n/a,,0
131,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
132,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
133,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,1,2,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
134,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
135,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
136,Distribution Compliance Test,hard,14B,V4,1,0,0,0,1,1,7,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Mean|Median|Standard Deviation|Skewness|Kurtosis,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
137,Variance Test,hard,14B,V4,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
138,Variance Test,hard,14B,V4,1,0,0,1,0,1,1,2,Levene Test,Mood Variance Test|Levene Test,,,,,n/a,,1
139,Contingency Table Test,hard,14B,V4,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,,,,,n/a,,0
140,Distribution Compliance Test,hard,14B,V4,1,0,0,1,1,0,4,3,Shapiro-Wilk Test of Normality|Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,,,,,n/a,,0
